isbn;aportación en moneda local;participaciones;fecha;fondo;;;Notas
ES0114104039;602,00;1,05865;20/5/2013;4039 Bankinter Indice Japón;;;
ES0114104039;300,00;0,55650;16/7/2013;4039 Bankinter Indice Japón;;;
ES0114797030;1.500,00;3,20314;22/7/2014;7030 Bankinter Tecnologia Cl- R ;;;
ES0114797030;1.000,00;2,17241;29/8/2014;7030 Bankinter Tecnologia Cl- R ;;;
ES0114104039;600,00;0,85691;9/5/2017;4039 Bankinter Indice Japón;;;
ES0114104039;500,00;0,70080;12/9/2017;4039 Bankinter Indice Japón;;;
ES0114797030;1.200,00;1,23538;23/8/2021;7030 Bankinter Tecnologia Cl- R ;;;
ES0114797030;1.000,00;0,95025;30/11/2021;7030 Bankinter Tecnologia Cl- R ;;;
LU0171301533;1.000,00;43,96;30/5/2022;BGF World Energy A2 (EUR) ;;;
ES0114797030;5.429,24;6,00706;4/4/2023 0:00;7030 Bankinter Tecnologia Cl- R ;;;
LU1602119973;1.178,27;86,57384;29/5/2023;9973 T Rowe Price Global T Ah;;;
ES0114104039;800,00;0,79082;1/8/2023;4039 Bankinter Indice Japón;;;
ES0114104039;800,00;0,75994;11/9/2023;4039 Bankinter Indice Japón;;;
